chosen-taxiId:87, reqId:99, taxiLoc:6193, startLoc:6338, descLoc:3889, wait:0.9690291063140001
chosen-taxiId:10, reqId:53, taxiLoc:7002, startLoc:6897, descLoc:9453, wait:0.2560757853797
chosen-taxiId:12, reqId:93, taxiLoc:6324, startLoc:6094, descLoc:6603, wait:0.5204526080504002
chosen-taxiId:31, reqId:100, taxiLoc:6952, startLoc:7050, descLoc:9122, wait:-0.37158362276299994
chosen-taxiId:17, reqId:29, taxiLoc:1429, startLoc:7690, descLoc:5142, wait:1.9004932299777995
chosen-taxiId:30, reqId:6, taxiLoc:7032, startLoc:6445, descLoc:7065, wait:-0.3284067953844998
chosen-taxiId:2, reqId:47, taxiLoc:9855, startLoc:7233, descLoc:551, wait:-1.81010342625
chosen-taxiId:70, reqId:60, taxiLoc:4662, startLoc:4881, descLoc:5423, wait:-1.1645944808472994
chosen-taxiId:50, reqId:110, taxiLoc:394, startLoc:1084, descLoc:3667, wait:-0.009129639946299672
chosen-taxiId:53, reqId:4, taxiLoc:5131, startLoc:5406, descLoc:7480, wait:-0.22965263636490008
chosen-taxiId:4, reqId:9, taxiLoc:7970, startLoc:2054, descLoc:1014, wait:-0.2551520578238007
chosen-taxiId:22, reqId:41, taxiLoc:5434, startLoc:9545, descLoc:4857, wait:-0.10853649605160065
chosen-taxiId:57, reqId:83, taxiLoc:7760, startLoc:1711, descLoc:1002, wait:-0.12441648680149964
chosen-taxiId:8, reqId:94, taxiLoc:1891, startLoc:2648, descLoc:6353, wait:-0.7220582098157999
chosen-taxiId:13, reqId:79, taxiLoc:9932, startLoc:6751, descLoc:9278, wait:-0.1361641955504016
chosen-taxiId:28, reqId:98, taxiLoc:2894, startLoc:4559, descLoc:6733, wait:-1.6564713919787009
chosen-taxiId:51, reqId:106, taxiLoc:2143, startLoc:8673, descLoc:2407, wait:-0.27590916439269986
chosen-taxiId:93, reqId:84, taxiLoc:9934, startLoc:4863, descLoc:5033, wait:-0.04195093949490136
chosen-taxiId:56, reqId:7, taxiLoc:2301, startLoc:594, descLoc:5957, wait:-0.018025028718000158
chosen-taxiId:6, reqId:40, taxiLoc:2905, startLoc:1597, descLoc:5664, wait:-0.03972299022020387
chosen-taxiId:77, reqId:3, taxiLoc:809, startLoc:581, descLoc:7624, wait:-0.1207373941343004
chosen-taxiId:65, reqId:5, taxiLoc:5381, startLoc:1562, descLoc:2653, wait:-0.002251739100103123
chosen-taxiId:29, reqId:15, taxiLoc:5606, startLoc:2066, descLoc:6609, wait:-0.37023098236960195
chosen-taxiId:40, reqId:104, taxiLoc:8314, startLoc:4023, descLoc:8528, wait:-0.20156469396420107
chosen-taxiId:8, reqId:86, taxiLoc:6353, startLoc:6631, descLoc:6848, wait:-0.0997827866626011
chosen-taxiId:82, reqId:23, taxiLoc:5724, startLoc:7942, descLoc:5167, wait:-0.30546089984180114
chosen-taxiId:43, reqId:49, taxiLoc:1913, startLoc:6541, descLoc:6545, wait:-0.08795145526319459
chosen-taxiId:17, reqId:74, taxiLoc:5142, startLoc:9156, descLoc:9167, wait:-0.09481474836050197
chosen-taxiId:5, reqId:101, taxiLoc:3011, startLoc:7396, descLoc:5982, wait:-1.0891398300514048
chosen-taxiId:12, reqId:24, taxiLoc:6603, startLoc:1225, descLoc:8442, wait:-0.10236526412509717
chosen-taxiId:32, reqId:42, taxiLoc:9897, startLoc:8362, descLoc:6098, wait:-0.8315092622831024
chosen-taxiId:20, reqId:65, taxiLoc:7497, startLoc:8607, descLoc:6254, wait:-0.9433842142923012
chosen-taxiId:36, reqId:19, taxiLoc:150, startLoc:6912, descLoc:4768, wait:-0.12018947540960312
chosen-taxiId:13, reqId:69, taxiLoc:9278, startLoc:3935, descLoc:3062, wait:-1.0081377479206015
chosen-taxiId:2, reqId:115, taxiLoc:551, startLoc:4141, descLoc:8888, wait:-0.3699375908666074
chosen-taxiId:57, reqId:108, taxiLoc:1002, startLoc:3382, descLoc:8765, wait:-0.22015173442430047
chosen-taxiId:30, reqId:1, taxiLoc:7065, startLoc:3750, descLoc:8167, wait:-2.742387564105301
chosen-taxiId:70, reqId:109, taxiLoc:5423, startLoc:2538, descLoc:1303, wait:-0.4608478666045066
chosen-taxiId:9, reqId:20, taxiLoc:181, startLoc:6633, descLoc:1268, wait:-1.8267597785906062
chosen-taxiId:22, reqId:36, taxiLoc:4857, startLoc:828, descLoc:2126, wait:-1.7100617461525047
chosen-taxiId:4, reqId:64, taxiLoc:1014, startLoc:6643, descLoc:1382, wait:-0.7981778483963957
chosen-taxiId:28, reqId:77, taxiLoc:6733, startLoc:5479, descLoc:9821, wait:-2.908361547888701
chosen-taxiId:51, reqId:52, taxiLoc:2407, startLoc:3857, descLoc:3568, wait:-8.5728460192148
chosen-taxiId:100, reqId:66, taxiLoc:9698, startLoc:536, descLoc:4201, wait:-1.6725686291436013
chosen-taxiId:56, reqId:87, taxiLoc:5957, startLoc:4885, descLoc:5322, wait:-0.2888903489308987
chosen-taxiId:93, reqId:78, taxiLoc:5033, startLoc:5452, descLoc:6023, wait:-4.639230766107204
chosen-taxiId:29, reqId:2, taxiLoc:6609, startLoc:6294, descLoc:4239, wait:-1.129524156761203
chosen-taxiId:65, reqId:28, taxiLoc:2653, startLoc:3453, descLoc:6008, wait:-0.021186600458101168
chosen-taxiId:6, reqId:63, taxiLoc:5664, startLoc:6035, descLoc:2203, wait:-0.9022244371107035
chosen-taxiId:50, reqId:96, taxiLoc:3667, startLoc:4733, descLoc:3965, wait:-10.766704729435494
chosen-taxiId:77, reqId:55, taxiLoc:7624, startLoc:1875, descLoc:9717, wait:-0.23971994173890465
chosen-taxiId:8, reqId:13, taxiLoc:6848, startLoc:7305, descLoc:7007, wait:-3.8543954278048034
chosen-taxiId:61, reqId:16, taxiLoc:9147, startLoc:49, descLoc:2441, wait:-6.344684782060703
