
Final Assignment...
taxi:87, taxiLoc:6193, reqId:99, reqTime:0, startLoc:6338, descLoc:3889
taxi:10, taxiLoc:7002, reqId:53, reqTime:1, startLoc:6897, descLoc:9453
taxi:12, taxiLoc:6324, reqId:93, reqTime:1, startLoc:6094, descLoc:6603
taxi:31, taxiLoc:6952, reqId:100, reqTime:1, startLoc:7050, descLoc:9122
taxi:17, taxiLoc:1429, reqId:29, reqTime:2, startLoc:7690, descLoc:5142
taxi:30, taxiLoc:7032, reqId:6, reqTime:3, startLoc:6445, descLoc:7065
taxi:2, taxiLoc:9855, reqId:47, reqTime:3, startLoc:7233, descLoc:551
taxi:46, taxiLoc:4783, reqId:60, reqTime:4, startLoc:4881, descLoc:5423
taxi:33, taxiLoc:561, reqId:110, reqTime:4, startLoc:1084, descLoc:3667
taxi:1, taxiLoc:5034, reqId:4, reqTime:5, startLoc:5406, descLoc:7480
taxi:4, taxiLoc:7970, reqId:9, reqTime:5, startLoc:2054, descLoc:1014
taxi:22, taxiLoc:5434, reqId:41, reqTime:5, startLoc:9545, descLoc:4857
taxi:5, taxiLoc:3011, reqId:83, reqTime:6, startLoc:1711, descLoc:1002
taxi:8, taxiLoc:1891, reqId:94, reqTime:6, startLoc:2648, descLoc:6353
taxi:13, taxiLoc:9932, reqId:79, reqTime:7, startLoc:6751, descLoc:9278
taxi:28, taxiLoc:2894, reqId:98, reqTime:7, startLoc:4559, descLoc:6733
taxi:6, taxiLoc:2905, reqId:106, reqTime:7, startLoc:8673, descLoc:2407
taxi:21, taxiLoc:3753, reqId:84, reqTime:9, startLoc:4863, descLoc:5033
taxi:7, taxiLoc:8050, reqId:7, reqTime:10, startLoc:594, descLoc:5957
taxi:3, taxiLoc:8148, reqId:40, reqTime:10, startLoc:1597, descLoc:5664
taxi:37, taxiLoc:247, reqId:3, reqTime:11, startLoc:581, descLoc:7624
taxi:24, taxiLoc:3232, reqId:5, reqTime:12, startLoc:1562, descLoc:2653
taxi:11, taxiLoc:8813, reqId:15, reqTime:12, startLoc:2066, descLoc:6609
taxi:10, taxiLoc:9453, reqId:104, reqTime:16, startLoc:4023, descLoc:8528
taxi:12, taxiLoc:6603, reqId:86, reqTime:17, startLoc:6631, descLoc:6848
taxi:9, taxiLoc:181, reqId:23, reqTime:18, startLoc:7942, descLoc:5167
taxi:14, taxiLoc:4285, reqId:49, reqTime:18, startLoc:6541, descLoc:6545
taxi:15, taxiLoc:4489, reqId:74, reqTime:18, startLoc:9156, descLoc:9167
taxi:18, taxiLoc:8734, reqId:101, reqTime:18, startLoc:7396, descLoc:5982
taxi:4, taxiLoc:1014, reqId:24, reqTime:19, startLoc:1225, descLoc:8442
taxi:16, taxiLoc:264, reqId:42, reqTime:21, startLoc:8362, descLoc:6098
taxi:17, taxiLoc:5142, reqId:65, reqTime:21, startLoc:8607, descLoc:6254
taxi:19, taxiLoc:5510, reqId:19, reqTime:22, startLoc:6912, descLoc:4768
taxi:20, taxiLoc:7497, reqId:69, reqTime:22, startLoc:3935, descLoc:3062
taxi:6, taxiLoc:2407, reqId:115, reqTime:22, startLoc:4141, descLoc:8888
taxi:13, taxiLoc:9278, reqId:108, reqTime:23, startLoc:3382, descLoc:8765
taxi:5, taxiLoc:1002, reqId:1, reqTime:24, startLoc:3750, descLoc:8167
taxi:21, taxiLoc:5033, reqId:109, reqTime:24, startLoc:2538, descLoc:1303
taxi:22, taxiLoc:4857, reqId:20, reqTime:25, startLoc:6633, descLoc:1268
taxi:23, taxiLoc:6578, reqId:36, reqTime:25, startLoc:828, descLoc:2126
taxi:7, taxiLoc:5957, reqId:64, reqTime:25, startLoc:6643, descLoc:1382
taxi:25, taxiLoc:9561, reqId:77, reqTime:26, startLoc:5479, descLoc:9821
taxi:6, taxiLoc:8888, reqId:52, reqTime:27, startLoc:3857, descLoc:3568
taxi:26, taxiLoc:1676, reqId:66, reqTime:27, startLoc:536, descLoc:4201
taxi:15, taxiLoc:9167, reqId:87, reqTime:27, startLoc:4885, descLoc:5322
taxi:27, taxiLoc:6226, reqId:78, reqTime:28, startLoc:5452, descLoc:6023
taxi:3, taxiLoc:5664, reqId:2, reqTime:29, startLoc:6294, descLoc:4239
taxi:29, taxiLoc:5606, reqId:28, reqTime:29, startLoc:3453, descLoc:6008
taxi:8, taxiLoc:6353, reqId:96, reqTime:30, startLoc:4733, descLoc:3965
taxi:12, taxiLoc:6848, reqId:63, reqTime:30, startLoc:6035, descLoc:2203
taxi:30, taxiLoc:7065, reqId:55, reqTime:31, startLoc:1875, descLoc:9717
taxi:14, taxiLoc:6545, reqId:13, reqTime:32, startLoc:7305, descLoc:7007
taxi:1, taxiLoc:7480, reqId:16, reqTime:32, startLoc:49, descLoc:2441
taxi:31, taxiLoc:9122, reqId:92, reqTime:32, startLoc:3939, descLoc:1200
taxi:6, taxiLoc:3568, reqId:102, reqTime:32, startLoc:2833, descLoc:589
taxi:32, taxiLoc:9897, reqId:113, reqTime:32, startLoc:2525, descLoc:5529
taxi:33, taxiLoc:3667, reqId:114, reqTime:32, startLoc:7769, descLoc:9322
taxi:34, taxiLoc:8463, reqId:45, reqTime:33, startLoc:8264, descLoc:8615
taxi:28, taxiLoc:6733, reqId:56, reqTime:33, startLoc:6038, descLoc:623
taxi:17, taxiLoc:6254, reqId:14, reqTime:34, startLoc:6450, descLoc:7390
taxi:24, taxiLoc:2653, reqId:30, reqTime:34, startLoc:7726, descLoc:7764
taxi:35, taxiLoc:5143, reqId:33, reqTime:34, startLoc:361, descLoc:9720
taxi:36, taxiLoc:150, reqId:80, reqTime:34, startLoc:9628, descLoc:7655
taxi:18, taxiLoc:5982, reqId:88, reqTime:34, startLoc:4868, descLoc:38
taxi:11, taxiLoc:6609, reqId:90, reqTime:34, startLoc:9668, descLoc:7600
taxi:10, taxiLoc:8528, reqId:21, reqTime:35, startLoc:4717, descLoc:8315
taxi:38, taxiLoc:3083, reqId:44, reqTime:35, startLoc:5544, descLoc:9472
taxi:37, taxiLoc:7624, reqId:73, reqTime:35, startLoc:1928, descLoc:8806
taxi:39, taxiLoc:8798, reqId:34, reqTime:36, startLoc:4332, descLoc:7885
taxi:40, taxiLoc:8314, reqId:58, reqTime:36, startLoc:9413, descLoc:6941
taxi:41, taxiLoc:5517, reqId:85, reqTime:36, startLoc:9610, descLoc:456
taxi:42, taxiLoc:7149, reqId:10, reqTime:37, startLoc:7114, descLoc:1827
taxi:19, taxiLoc:4768, reqId:35, reqTime:37, startLoc:3625, descLoc:356
taxi:43, taxiLoc:1913, reqId:81, reqTime:37, startLoc:9697, descLoc:6799
taxi:44, taxiLoc:6446, reqId:27, reqTime:38, startLoc:9404, descLoc:9858
taxi:45, taxiLoc:5093, reqId:68, reqTime:38, startLoc:9876, descLoc:7836
taxi:2, taxiLoc:551, reqId:25, reqTime:39, startLoc:7565, descLoc:4679
taxi:15, taxiLoc:5322, reqId:59, reqTime:39, startLoc:5947, descLoc:6731
taxi:9, taxiLoc:5167, reqId:18, reqTime:40, startLoc:5899, descLoc:1833
taxi:47, taxiLoc:8069, reqId:26, reqTime:40, startLoc:142, descLoc:1567
taxi:20, taxiLoc:3062, reqId:75, reqTime:40, startLoc:1193, descLoc:7079
taxi:8, taxiLoc:3965, reqId:82, reqTime:40, startLoc:5317, descLoc:3976
taxi:4, taxiLoc:8442, reqId:118, reqTime:40, startLoc:2251, descLoc:1709
taxi:3, taxiLoc:4239, reqId:119, reqTime:40, startLoc:3244, descLoc:2697
