Assignment...
taxi:10, taxiLoc:3551, reqId:13, reqTime:1, startLoc:4919, descLoc:7479
taxi:24, taxiLoc:4072, reqId:4, reqTime:2, startLoc:8778, descLoc:6100
taxi:1, taxiLoc:8394, reqId:22, reqTime:2, startLoc:4033, descLoc:4748
taxi:22, taxiLoc:2270, reqId:24, reqTime:2, startLoc:2684, descLoc:7273
taxi:29, taxiLoc:8571, reqId:2, reqTime:4, startLoc:8544, descLoc:3023
taxi:11, taxiLoc:5994, reqId:58, reqTime:6, startLoc:6431, descLoc:6999
taxi:5, taxiLoc:7971, reqId:34, reqTime:7, startLoc:8145, descLoc:7238
taxi:47, taxiLoc:8325, reqId:38, reqTime:7, startLoc:2683, descLoc:5205
taxi:44, taxiLoc:6664, reqId:8, reqTime:8, startLoc:6734, descLoc:5981
taxi:8, taxiLoc:5564, reqId:51, reqTime:11, startLoc:5490, descLoc:6661
taxi:42, taxiLoc:162, reqId:10, reqTime:13, startLoc:54, descLoc:8969
taxi:30, taxiLoc:5345, reqId:18, reqTime:17, startLoc:6019, descLoc:6426
taxi:18, taxiLoc:9844, reqId:6, reqTime:19, startLoc:6946, descLoc:7667
taxi:50, taxiLoc:4286, reqId:56, reqTime:24, startLoc:8737, descLoc:5723
taxi:28, taxiLoc:9488, reqId:17, reqTime:25, startLoc:6919, descLoc:4184
taxi:21, taxiLoc:9725, reqId:15, reqTime:26, startLoc:6968, descLoc:8279
taxi:9, taxiLoc:4684, reqId:35, reqTime:26, startLoc:5905, descLoc:2241
taxi:8, taxiLoc:6661, reqId:55, reqTime:26, startLoc:6794, descLoc:2447
taxi:4, taxiLoc:5866, reqId:12, reqTime:27, startLoc:7103, descLoc:3395
taxi:22, taxiLoc:7273, reqId:7, reqTime:28, startLoc:7107, descLoc:4192
taxi:48, taxiLoc:4755, reqId:60, reqTime:30, startLoc:5390, descLoc:982
taxi:34, taxiLoc:4664, reqId:46, reqTime:31, startLoc:5521, descLoc:3131
taxi:24, taxiLoc:6100, reqId:49, reqTime:31, startLoc:5537, descLoc:743
taxi:49, taxiLoc:8907, reqId:59, reqTime:31, startLoc:6011, descLoc:9291
taxi:14, taxiLoc:3358, reqId:26, reqTime:32, startLoc:3318, descLoc:2163
taxi:31, taxiLoc:3435, reqId:31, reqTime:32, startLoc:8973, descLoc:7656
taxi:43, taxiLoc:3369, reqId:32, reqTime:32, startLoc:9056, descLoc:1308
taxi:25, taxiLoc:3020, reqId:23, reqTime:33, startLoc:4292, descLoc:2660
taxi:15, taxiLoc:8893, reqId:40, reqTime:33, startLoc:4306, descLoc:3323
taxi:2, taxiLoc:1682, reqId:54, reqTime:33, startLoc:7853, descLoc:7379
taxi:32, taxiLoc:7559, reqId:36, reqTime:34, startLoc:155, descLoc:8811
taxi:37, taxiLoc:3941, reqId:25, reqTime:35, startLoc:6778, descLoc:6345
taxi:45, taxiLoc:7654, reqId:39, reqTime:35, startLoc:755, descLoc:8668
taxi:47, taxiLoc:5205, reqId:9, reqTime:37, startLoc:5128, descLoc:1056
taxi:26, taxiLoc:1814, reqId:28, reqTime:37, startLoc:1781, descLoc:8768
taxi:23, taxiLoc:7950, reqId:11, reqTime:38, startLoc:1523, descLoc:8348
taxi:26, taxiLoc:8768, reqId:47, reqTime:38, startLoc:5210, descLoc:2198
taxi:15, taxiLoc:3323, reqId:1, reqTime:39, startLoc:5259, descLoc:2865
taxi:36, taxiLoc:1642, reqId:3, reqTime:39, startLoc:1744, descLoc:8304
taxi:7, taxiLoc:7780, reqId:5, reqTime:39, startLoc:2873, descLoc:9020
taxi:50, taxiLoc:5723, reqId:44, reqTime:39, startLoc:5603, descLoc:6555
taxi:33, taxiLoc:1183, reqId:27, reqTime:41, startLoc:8020, descLoc:8064
taxi:17, taxiLoc:8552, reqId:16, reqTime:42, startLoc:5417, descLoc:6224
taxi:3, taxiLoc:840, reqId:29, reqTime:42, startLoc:1441, descLoc:6635
taxi:27, taxiLoc:2141, reqId:41, reqTime:43, startLoc:8051, descLoc:3789
taxi:19, taxiLoc:3635, reqId:57, reqTime:46, startLoc:5141, descLoc:9618
taxi:46, taxiLoc:8200, reqId:14, reqTime:47, startLoc:8732, descLoc:329
taxi:3, taxiLoc:6635, reqId:21, reqTime:47, startLoc:5116, descLoc:1088
taxi:6, taxiLoc:8156, reqId:30, reqTime:47, startLoc:4741, descLoc:4169
taxi:39, taxiLoc:509, reqId:43, reqTime:47, startLoc:547, descLoc:5820
taxi:20, taxiLoc:328, reqId:19, reqTime:48, startLoc:7532, descLoc:1858
taxi:35, taxiLoc:3381, reqId:33, reqTime:48, startLoc:8641, descLoc:3450
taxi:30, taxiLoc:6426, reqId:53, reqTime:51, startLoc:5864, descLoc:9144
taxi:5, taxiLoc:7238, reqId:42, reqTime:53, startLoc:7201, descLoc:4989
taxi:23, taxiLoc:8348, reqId:20, reqTime:54, startLoc:8598, descLoc:1529
taxi:44, taxiLoc:5981, reqId:48, reqTime:54, startLoc:7031, descLoc:2039
taxi:11, taxiLoc:6999, reqId:52, reqTime:55, startLoc:6151, descLoc:9898
taxi:12, taxiLoc:8059, reqId:37, reqTime:56, startLoc:8763, descLoc:6537
taxi:38, taxiLoc:7802, reqId:50, reqTime:56, startLoc:7691, descLoc:8093
taxi:45, taxiLoc:8668, reqId:45, reqTime:58, startLoc:4889, descLoc:810

Total Wait: 6.232346642689297
Start Time: Fri Apr 08 00:05:51 SGT 2016
End Time: Fri Apr 08 00:05:53 SGT 2016
Duration (sec): 2.209
